image_path,species_label,timestamp,latitude,longitude,detection_confidence,bbox
data\raw\images\eccv_18_all_images_sm\5992910b-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-30 12:38:28,32.047059,-110.033333,0.8539,"[198.7762451171875, 377.520751953125, 340.3412780761719, 490.43994140625]"
data\raw\images\eccv_18_all_images_sm\59bfdc59-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-14 13:30:09,32.047059,-110.033333,0.7876,"[141.74754333496094, 342.00018310546875, 224.9705352783203, 454.23944091796875]"
data\raw\images\eccv_18_all_images_sm\59e2a34d-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-15 19:57:01,32.047059,-110.033333,0.8053,"[194.54396057128906, 422.30853271484375, 327.01422119140625, 543.8984375]"
data\raw\images\eccv_18_all_images_sm\597fefa7-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-04 04:04:01,32.047059,-110.033333,0.8428,"[567.711181640625, 279.74676513671875, 673.7260131835938, 385.18035888671875]"
data\raw\images\eccv_18_all_images_sm\59f79860-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:12:19,32.047059,-110.033333,0.8479,"[147.06698608398438, 361.39013671875, 265.8641357421875, 558.0239868164062]"
data\raw\images\eccv_18_all_images_sm\59ddc32f-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-06 14:36:15,32.047059,-110.033333,0.807,"[875.0588989257812, 312.41912841796875, 1017.6270751953125, 373.62152099609375]"
data\raw\images\eccv_18_all_images_sm\59d8ec09-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:30:25,32.047059,-110.033333,0.5759,"[756.56787109375, 119.567138671875, 803.9085083007812, 183.55618286132812]"
data\raw\images\eccv_18_all_images_sm\599a5c81-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-29 10:08:09,32.047059,-110.033333,0.665,"[80.09037780761719, 461.9969177246094, 135.23458862304688, 520.3714599609375]"
data\raw\images\eccv_18_all_images_sm\5a2c851c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 13:16:43,32.047059,-110.033333,0.5479,"[539.4913940429688, 510.51239013671875, 592.0525512695312, 638.6640625]"
data\raw\images\eccv_18_all_images_sm\5a1640af-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-21 19:56:49,32.047059,-110.033333,0.7904,"[755.606689453125, 387.42730712890625, 833.7877197265625, 503.8379821777344]"
